commit	val_mse	status	description
c9228cd	3.241197	baseline	baseline: cross-attn GNN, MSE loss, lr=1e-3, hidden=128, layers=3
230054e	3.659078	reverted	exp1: log-space MSE loss + cosine LR — worse (loss/eval mismatch)
835e895	3.154557	kept	exp2: bidirectional cross-attention (pattern↔graph) — improved
d124847	4.422381	reverted	exp3: mean-pool — worse
4c23ad1	14.848811	reverted	exp4: sum-pool for graph — much worse (unbounded)
b3e7068	8.904295	reverted	exp5: 2 rounds bidirectional attn — too slow (0.40M params)
0406193	1.438336	kept	exp6: residual cross-attn (pre-norm) + dropout 0.1 — big win
03170a7	1.298303	kept	exp7: dropout 0.05 + cosine LR warmup — improved
2d0790b	1.047217	kept	exp8: dropout 0.0 — improved (3338 steps, faster without dropout)
874c4f7	1.419189	reverted	exp9: hidden_dim=160 — too slow to converge
9a405c0	1.419189	reverted	exp10: 4 GNN layers — too slow
99ebfee	2.634432	reverted	exp11: LR=3e-3 — diverged
e0b292b	1.341822	reverted	exp12: batch=128 — worse
e0ad449	1.320359	reverted	exp13: Huber loss — worse
51e91cd	1.281025	reverted	exp14: LR=2e-3 — worse
a69d4c5	1.057374	reverted	exp15: AdamW wd=1e-4 — marginal, not better
e06e850	0.834647	kept	exp16: GELU activation — improved
2a86076	1.844812	reverted	exp17: separate GNN encoders — too many params (0.37M)
2841152	0.759924	kept	exp18: cosine schedule 2000→3500 steps — improved
(many failed: pool variants, more layers, LR changes, Huber, EMA, SGDR-ish)
00bb765	0.756031	kept	exp37: cosine LR warm restart at step 2000 (SGDR) — marginal improvement
5df85df	1.206226	reverted	exp50: JK-net (concat all layer outputs + project) — too slow to converge
6646e4d	0.986049	reverted	exp51: count-sqrt weighted MSE — biases toward non-zero, hurts zero samples
5ed89ee	1.427095	reverted	exp52: GCN symmetric norm D^{-1/2}AD^{-1/2} — row-norm is better here
8d7fc90	0.884324	reverted	exp53: masked max-pool with -inf for padding — zero-pad behavior is better (model uses it)
7d26c12	0.840514	reverted	exp54: NUM_LAYERS=2 — more steps but insufficient depth for graph encoding
85de08c	0.915569	reverted	exp55: LayerNorm before max-pool — hurt performance
cabf44d	0.864196	reverted	exp56: 8 attention heads (vs 4) — worse, 4 heads better for H=128
c4c9a77	0.756528	reverted	exp57: element-wise interaction p_pool*g_pool — marginally worse (within noise)
7dcb32b	0.814014	reverted	exp58: zero-inflated two-head (P(nz)*E[count|nz]) — worse, product unstable
cd82c2f	0.847956	reverted	exp59: SGDR restart at step 1500 — shorter cycle 1 hurts exploration
16c627b	2.550726	reverted	exp60: pre-norm GNN layer — much worse, post-norm is critical for GNN
10a0f46	0.565881	kept	exp61: gated-sum pool (sigmoid gate from g_out) + max-pool, predict 3H — big win
551d993	0.429090	kept	exp62: vector gate (H->H) for gated-sum — per-dimension gating, bigger win
de979fd	0.460339	reverted	exp63: pattern-side gated-sum (4H predict) — too many params, worse
8a2a1a7	0.587484	reverted	exp64: 2-layer gate MLP — too many params, too few steps to converge
617d5f8	0.428171	kept	exp65: gate(g_out) applied to g_enc values — structural count, marginal improvement
00054d9	0.525238	reverted	exp66: HIDDEN_DIM=112 — insufficient capacity
6c7a7f5	1.137850	reverted	exp67: cross-attn weights as gates — softmax normalization hurts counting
8c28ba9	0.474482	reverted	exp68: remove g_pool (2H predict) — g_max provides needed detection signal
b4c99d0	0.378068	kept	exp69: gate_g bias init=-2 (sparse initial gates) — significant win
98a88dc	0.476667	reverted	exp70: zero-init gate weights — worse, random init weight is better
9322675	0.381312	reverted	exp71: gate_g bias=-3 — too sparse, smaller gradient slows gate learning
50e6540	0.417638	reverted	exp72: gate_g bias=-1.5 — too dense, bias=-2 is optimal
3781308	0.485360	reverted	exp73: predict[2].bias=-5 — worse, default init for predict is better
694a09c	0.396361	reverted	exp74: replace g_pool with gated-sum(g_out) — g_max is needed alongside count
cea85ac	0.471308	reverted	exp75: triangle-aware 2-hop gated feature (node_w * neighbour_contrib) — worse, lost 1st-order count signal
fb40e86	0.815361	reverted	exp76: attn-sharpened gate (gate * attn_recv) — much worse, p2g attn too diffuse (3/48=0.06 avg)
898b9ac	0.423011	reverted	exp77: neighbour label augmentation (cat[feat, adj@feat] before embed) — GNN already captures this via MP
2bc9c3e	0.423879	reverted	exp78: learnable g_enc/g_out blend for gated sum — no benefit over fixed g_enc
81af035	0.405073	reverted	exp79: pattern mean-pool + max-pool (4H predict) — extra params didn't help
bf652b7	0.436811	reverted	exp80: 2nd-order edge signal (gate_sc^T*A*gate_sc scalar) — 1st-order gate already sufficient
94c3e03	0.445845	reverted	exp81: raw label count vectors (p_labels, g_labels) as extra predict inputs — redundant with GNN
dc36dd6	0.420222	reverted	exp82: softplus gate (unbounded) — sigmoid bound is better for selection
ceac7ef	0.422714	reverted	exp83: bilinear gate g_out*p_pool — scale change hurt learning
0a64464	0.479611	reverted	exp84-a: gate values (g_enc+g_out)/2 — avg loses structural specificity
647ceb0	14.848811	reverted	exp84-b: L1 MAE training loss — not aligned with MSE eval metric
2dbf8b4	0.380630	reverted	exp87: structural tri-count (A²⊙A/2) as readout boost (1+tri_cnt) — close but slightly worse
c09d356	0.422952	reverted	exp88: normalized tri-count boost [0,1] — normalization removes count info, worse
dc0ddea	0.445551	reverted	exp85: gate_sc * neighbor_gate_sum readout — 2nd-order but lost 1st-order signal
bbaaa06	0.405536	reverted	exp86: seed=7 — architecture near-optimal, different seed no help
10c9e3b	0.349749	kept	exp89: structural tri-count embedded additively into g_enc (+128 params) — new best!
de2d47c	0.288041	kept	exp90: log1p-transform triangle count before embedding — new best!
d9d5243	2.145182	reverted	exp91: pattern-conditioned gate (random init) — init overwhelmed sparse gate bias
50390c7	2.144387	reverted	exp92: pattern-conditioned gate (zero-init) — zero-init doesn't help, still diverges
3cc02df	2.135663	reverted	exp93: log-degree embedding — too much random init noise in g_enc disrupts training
5458dc5	2.230450	reverted	exp94: EMA weights (0.999) — LayerNorm param averaging breaks function composition
23b7479	0.300375	reverted	exp95: SGDR cycle2 restart at 0.25x LR — lower restart not better
6a21aa9	0.241894	kept	exp96: single cosine 1.0→0.01 over 3800 steps (no SGDR restart) — new best!
5039f03	0.286321	reverted	exp97: single cosine min_LR=0.005 — too much decay, model under-learns late
cf9aa97	0.270201	reverted	exp98: single cosine over 4000 steps — longer cycle is worse than 3800
07049ed	2.137943	reverted	exp99: LR=1.5e-3 with single cosine — too high, diverges
c74491e	0.361475	reverted	exp100: LR=1.2e-3 single cosine — too high for single cosine, 1e-3 is optimal
a331006	0.305894	reverted	exp101: weight_decay=0 — slight regularization (1e-5) helps
bb3da02	0.412311	reverted	exp102: remove p2g — p2g cross-attn critical for contextual pattern representation
349eaf7	0.313014	reverted	exp103: pattern mean-pool — max-pool is better for pattern (captures extreme features)
14219cf	0.250879	reverted	exp104: WARMUP=25 — marginal, WARMUP=50 better
0df7c27	0.259125	reverted	exp105: WARMUP=100 — 50 steps is optimal
d013d7e	2.134072	reverted	exp106: gate_g bias=-1.5 — single cosine's higher mid-LR amplifies instability with denser gates
011672a	0.241281	kept	exp107: MAX_GRAD_NORM=5.0 — marginal improvement from tighter clipping
485222c	0.317452	reverted	exp108: MAX_GRAD_NORM=4.0 — too tight, 5.0 is optimal
d298ceb	0.298002	reverted	exp109: seed=137 — seed=42 finds better basin for this architecture
312d700	0.271455	reverted	exp110: BATCH=192 — more updates but noisier gradients, 256 is better
8fce162	0.297008	reverted	exp111: BATCH=320 — fewer updates more costly than gradient quality gain
b6b0202	0.295946	reverted	exp112: zero-init deg_embed — fewer steps (slower forward), worse
bb97dea	1.268262	reverted	exp113: precomputed tri_c (bmm savings < AugDataset overhead)
858f799	0.250307	reverted	exp114: reseed fix for exp113 — still slower than original (2717 vs 2866 steps)
244ef5e	0.333471	reverted	exp115: MAX_LABELS=32 fixed embed (demo-only) — larger embed hurts demo convergence
5a3a6a0	1258.4483	kept	baseline-v2: multi-dataset (demo+intestinal, INT_EVERY=4) — 2000x better than TrimNN (2.5M); demo_mse=2.14
bb42d26	4738.5056	reverted	exp116: INT_EVERY=2 + log-space intestinal loss — log-space hurts raw MSE eval (loses absolute scale), demo recovered to 0.30
8669cd8	1282.3437	reverted	exp117: INT_TARGET_SCALE=10 — scale fix didn't help (demo still 2.14, int barely changed)
edce2e4	1276.5829	reverted	exp118: pure intestinal — no improvement over mixed (1276 vs 1258), demo fails (14.85); demo training transfers well to intestinal
ea2304a	7137.7216	reverted	exp119: count-weighted sampling — overfits high-count patterns, zero-count predictions blow up (52% of patterns are zero)
7ca0c8a	1262.6513	kept	exp120: sqrt-transform intestinal targets — same int_mse (1262≈1258), demo recovered 2.14→0.33; targets 0-0.94 fix gradient conflict
2b1d30fd0437a0f6d2b4dc911244c9146fad3414	1239.0539	kept	exp121: INT_EVERY=2 with sqrt targets — new best int_mse (1239), demo=0.46; more intestinal signal helps
91e52665f7c12161934515d749df2f8e06793be2	1261.8225	reverted	exp122: INT_EVERY=1 (50%) — too many intestinal steps, fewer total steps, worse (1262 vs 1239)
train_trimnn-exp1	510831	trimnn-model	TrimNN model exp1: BCE loss, INT_EVERY=4, INT_WEIGHT=0.3 — 3x better than predict-zero (1.6M), demo_bin_mse=0.008
train_trimnn-exp2	184429	trimnn-model	TrimNN model exp2: MSE loss, INT_EVERY=1, INT_WEIGHT=2.0 — 9x better than predict-zero, demo_bin_mse=0.005
train_trimnn-exp3	65189	trimnn-model	TrimNN model exp3: MSE, INT_WEIGHT=5.0, INT_BATCH=128 — 25x better than predict-zero, demo_bin_mse=0.009
train_trimnn-exp4	44867	trimnn-model	TrimNN model exp4: MSE, INT_WEIGHT=10.0, EVAL_NODES=300 — diminishing returns; 37x better than predict-zero
train_trimnn-exp5	41337	trimnn-model	TrimNN model exp5 BEST: MSE, INT_WEIGHT=20.0, EVAL_PATTERNS=200/NODES=300 — trimnn_mse=41337 (RMSE≈203 vs TrimNN mean=702)
train_trimnn-exp6	2415765	trimnn-model	TrimNN model exp6 FAILED: pure intestinal, no demo — collapsed; demo regularization essential; vf2_mse=1912 (interesting)
train_trimnn-exp7	59076	trimnn-model	TrimNN exp7 REVERTED: 50% high-count (>100) sampling, BS=64, ILW=20 — RMSE=244 (marginal), Zero MAE=37 (3x worse), MCC=0.33 (worse); high variance (41k–59k), unstable
train_trimnn-exp8	26703	trimnn-model	TrimNN exp8 KEPT: soft-BCE intestinal loss, uniform, BS=128, ILW=7 — huge win: RMSE=174(-31%), MCC=0.682(+81%), Zero MAE=3.6(-74%), Spearman=0.983; VF2 Spear=0.468(TrimNN=0.456)
train_trimnn-exp9	19019	trimnn-model	TrimNN exp9 KEPT: soft-BCE, ILW=10 — RMSE=143(-43%!), MCC=0.729, Zero MAE=3.8, High MAE=120, Top-20=100%; Spear VF2=0.468
train_trimnn-exp10	14011	trimnn-model	TrimNN exp10 KEPT: soft-BCE, ILW=15 — RMSE=119(-53%!), High MAE=99, Top-5=100%; MCC=0.657(regressed), Spear VF2=0.477
train_trimnn-exp11	10629	trimnn-model	TrimNN exp11 KEPT: soft-BCE, ILW=20 — RMSE=103(-59%!), MCC=0.739(best!), High MAE=85, Top-50=98%; Spear VF2=0.469
train_trimnn-exp12	12644	trimnn-model	TrimNN exp12 REVERTED: soft-BCE, ILW=30 — overfits (demo_bin_mse=0.014), RMSE=129 worse than ILW=20; ILW=20 is optimal
train_trimnn-exp13	16173	trimnn-model	TrimNN exp13 REVERTED: soft-BCE, ILW=20, INT_BATCH=256 — fewer steps (1045 vs 1365), RMSE=119 worse than BS=128; more updates beats larger batches
train_trimnn-exp14	15010	trimnn-model	TrimNN exp14 REVERTED: soft-BCE, ILW=20, INT_BATCH=64 — noisier (RMSE=122), confirmed BS=128 is optimal
train_trimnn-exp15	6958	trimnn-model	TrimNN exp15 KEPT: BCE ILW=20 BS=128 cosine=1400 — RMSE=88(-65%!), High MAE=77, Top-5/10/20=100%; MCC=0.682(regressed), Zero MAE=4.5
train_trimnn-exp16	7999	trimnn-model	TrimNN exp16 REVERTED: cosine=1600 — RMSE=90 (worse), MCC=0.693 (slightly better than 1400); 1400-step cosine marginally better
train_trimnn-exp17	8609	trimnn-model	TrimNN exp17 REVERTED: cosine=1400, min_LR=0.05 — RMSE=94(worse), MCC=0.693(slightly better); can't get best of both with simple LR
train_trimnn-exp18	10370	trimnn-model	TrimNN exp18 REVERTED: cosine→1200 then const@0.05x — RMSE=107(worst!), MCC=0.662; fine-tuning phase doesn't help
train_trimnn-BEST	11039	trimnn-model	TrimNN BEST (seeded): soft-BCE ILW=20 BS=128 cosine=3800 seed=42 — RMSE=104(-59%), MCC=0.713(+89%!), Zero MAE=3.2(-77%), Spearman=0.989, VF2 Spear=0.468>TrimNN(0.456); reproducible
train_trimnn-exp19	13000	trimnn-model	TrimNN exp19 REVERTED: multi-size training (size-3 + 75 size-4 patterns) — RMSE=130(worse), MCC=0.713(same), High MAE=110(worse); size-4 counts 3-5x higher bias model upward; reverted to size-3 only
trimnn-app-v1	n/a	trimnn-app	trimnn_app.py CREATED: all 3 TrimNN functions (subgraph_matching, specific_size, all_size) + CSV/GML input; format matches TrimNN output exactly; validated on demo data
train_trimnn-exp21	n/a	trimnn-model	TrimNN exp21 NEW BEST: VF2 direct supervision (target=vf2_cnt/n_nodes, soft-BCE) — VF2 Spear=0.723(+59%!>TrimNN 0.456), VF2 RMSE=26.0(61x better), MAE=5.8, size-4 Spear=0.717(zero-shot); trimnn-mse degraded (predicts VF2 scale not TrimNN)
train_trimnn-exp23	n/a	trimnn-model	TrimNN exp23: multi-sample VF2 (16 samples, label-harmonized, raw density targets) — B004 VF2 Spear=0.7088(+55%>TrimNN 0.4561), cross-sample B005 Spear=0.6477(vs exp21=0.1295), size-4 Spear=0.6294; trimnn Spear=0.3289 (degraded vs exp21)
train_trimnn-exp24	n/a	trimnn-model	TrimNN exp24 NEW BEST: rank-norm targets (16 samples, harmonized, 300s) — B004 VF2 Spear=0.7652(+67.7%>TrimNN!), cross-sample B005=0.7433(excellent!), size-4 Spear=0.6141; scale mismatch (our_mean=4985 vs vf2_mean=815) expected since targets are ranks not counts
train_trimnn-exp24-multisample	n/a	trimnn-model	TrimNN exp24 multi-sample eval (10 tissues, 600 sampled patterns each, 150 nodes): avg Spear=0.7212; B005_asc=0.698, B005_sig=0.690, B005_duo=0.690, B005_ileum=0.699, B006_sig=0.744, B006_desc=0.744, B008_asc=0.700, B008_trans=0.722, B010_asc=0.770, B011_asc=0.754
train_trimnn-exp26	n/a	trimnn-model	TrimNN exp26: 144 samples (all NPS/PS/standard), rank-norm, 3000s — B004 VF2 Spear=0.7892(+73%>TrimNN), B005 full cross-sample=0.7943, size-4 Spear=0.6308, size-4 MCC=0.6594; marginal vs exp24 due to cosine schedule mismatch (38k steps set, ~4.5k ran)
train_trimnn-exp27	n/a	trimnn-model	TrimNN exp27 NEW BEST: 124 samples (B005 held-out), rank-norm, RAM-efficient (KHOP=1000), 5000-step cosine — B004 VF2 Spear=0.7960(+74.6%>TrimNN!), size-4 Spear=0.6414, size-4 MCC=0.6594, multi-sample avg=0.7434(10 tissues, all >0.69)
