Loading demo data ...
Data: loaded 89160 cached samples from /home/exouser/.cache/autoresearch_trimnn/data_k2.pkl
Demo — Train: 71328  Val: 17832
Loading TrimNN intestinal data (B004_ascending) ...
  Graph: 21,232 nodes, 63,644 edges
  Patterns: 2,925  (vf2_zero=1539, vf2_nonzero=1386, TrimNN mean=815.5, VF2 mean=14.6)
  Loaded in 0.8s
Parameters: 302,209

step 00000 (0.0%) | loss: 16.0319 | dt: 1436ms | remaining: 300s   
step 00001 (0.0%) | loss: 16.0361 | dt: 306ms | remaining: 300s   
step 00002 (0.0%) | loss: 15.9333 | dt: 224ms | remaining: 300s   
step 00003 (0.0%) | loss: 15.6726 | dt: 223ms | remaining: 300s   
step 00004 (0.0%) | loss: 15.2453 | dt: 214ms | remaining: 300s   
step 00005 (0.1%) | loss: 14.6797 | dt: 307ms | remaining: 300s   
step 00006 (0.2%) | loss: 14.0631 | dt: 266ms | remaining: 299s   
step 00007 (0.3%) | loss: 13.4217 | dt: 218ms | remaining: 299s   
step 00008 (0.3%) | loss: 12.7947 | dt: 222ms | remaining: 299s   
step 00009 (0.5%) | loss: 12.1925 | dt: 388ms | remaining: 299s   
step 00010 (0.6%) | loss: 11.6199 | dt: 332ms | remaining: 298s   
step 00011 (0.7%) | loss: 11.0966 | dt: 220ms | remaining: 298s   
step 00012 (0.7%) | loss: 10.5880 | dt: 287ms | remaining: 298s   
step 00013 (0.9%) | loss: 10.1053 | dt: 312ms | remaining: 297s   
step 00014 (0.9%) | loss: 9.6302 | dt: 286ms | remaining: 297s   
step 00015 (1.0%) | loss: 9.1806 | dt: 231ms | remaining: 297s   
step 00016 (1.1%) | loss: 8.7523 | dt: 367ms | remaining: 297s   
step 00017 (1.3%) | loss: 8.3394 | dt: 363ms | remaining: 296s   
step 00018 (1.3%) | loss: 7.9520 | dt: 225ms | remaining: 296s   
step 00019 (1.5%) | loss: 7.5939 | dt: 368ms | remaining: 296s   
step 00020 (1.6%) | loss: 7.2448 | dt: 317ms | remaining: 295s   
step 00021 (1.6%) | loss: 6.9076 | dt: 223ms | remaining: 295s   
step 00022 (1.7%) | loss: 6.5884 | dt: 256ms | remaining: 295s   
step 00023 (1.9%) | loss: 6.2790 | dt: 425ms | remaining: 294s   
step 00024 (1.9%) | loss: 5.9923 | dt: 229ms | remaining: 294s   
step 00025 (2.0%) | loss: 5.7127 | dt: 226ms | remaining: 294s   
step 00026 (2.2%) | loss: 5.4496 | dt: 399ms | remaining: 294s   
step 00027 (2.3%) | loss: 5.1950 | dt: 285ms | remaining: 293s   
step 00028 (2.3%) | loss: 4.9509 | dt: 232ms | remaining: 293s   
step 00029 (2.4%) | loss: 4.7212 | dt: 353ms | remaining: 293s   
step 00030 (2.6%) | loss: 4.5051 | dt: 336ms | remaining: 292s   
step 00031 (2.6%) | loss: 4.3030 | dt: 267ms | remaining: 292s   
step 00032 (2.7%) | loss: 4.1046 | dt: 257ms | remaining: 292s   
step 00033 (2.9%) | loss: 3.9162 | dt: 420ms | remaining: 291s   
step 00034 (3.0%) | loss: 3.7344 | dt: 269ms | remaining: 291s   
step 00035 (3.0%) | loss: 3.5635 | dt: 210ms | remaining: 291s   
step 00036 (3.2%) | loss: 3.4014 | dt: 399ms | remaining: 291s   
step 00037 (3.3%) | loss: 3.2477 | dt: 321ms | remaining: 290s   
step 00038 (3.3%) | loss: 3.1009 | dt: 211ms | remaining: 290s   
step 00039 (3.5%) | loss: 2.9605 | dt: 338ms | remaining: 290s   
step 00040 (3.6%) | loss: 2.8322 | dt: 376ms | remaining: 289s   
step 00041 (3.7%) | loss: 2.7076 | dt: 378ms | remaining: 289s   
step 00042 (3.8%) | loss: 2.5923 | dt: 413ms | remaining: 288s   
step 00043 (3.9%) | loss: 2.4847 | dt: 302ms | remaining: 288s   
step 00044 (4.0%) | loss: 2.3806 | dt: 240ms | remaining: 288s   
step 00045 (4.2%) | loss: 2.2785 | dt: 386ms | remaining: 288s   
step 00046 (4.3%) | loss: 2.1800 | dt: 403ms | remaining: 287s   
step 00047 (4.4%) | loss: 2.0902 | dt: 286ms | remaining: 287s   
step 00048 (4.5%) | loss: 2.0033 | dt: 455ms | remaining: 286s   
step 00049 (4.6%) | loss: 1.9163 | dt: 322ms | remaining: 286s   
step 00050 (4.7%) | loss: 1.8357 | dt: 256ms | remaining: 286s   
step 00051 (4.9%) | loss: 1.7589 | dt: 459ms | remaining: 285s   
step 00052 (5.0%) | loss: 1.6839 | dt: 378ms | remaining: 285s   
step 00053 (5.1%) | loss: 1.6148 | dt: 393ms | remaining: 285s   
step 00054 (5.3%) | loss: 1.5512 | dt: 360ms | remaining: 284s   
step 00055 (5.4%) | loss: 1.4886 | dt: 297ms | remaining: 284s   
step 00056 (5.4%) | loss: 1.4294 | dt: 205ms | remaining: 284s   
step 00057 (5.6%) | loss: 1.3736 | dt: 414ms | remaining: 283s   
step 00058 (5.7%) | loss: 1.3247 | dt: 339ms | remaining: 283s   
step 00059 (5.8%) | loss: 1.2761 | dt: 273ms | remaining: 283s   
step 00060 (5.9%) | loss: 1.2259 | dt: 416ms | remaining: 282s   
step 00061 (6.0%) | loss: 1.1941 | dt: 406ms | remaining: 282s   
step 00062 (6.2%) | loss: 1.1519 | dt: 411ms | remaining: 281s   
step 00063 (6.3%) | loss: 1.1135 | dt: 338ms | remaining: 281s   
step 00064 (6.4%) | loss: 1.0725 | dt: 442ms | remaining: 281s   
step 00065 (6.5%) | loss: 1.0389 | dt: 325ms | remaining: 280s   
step 00066 (6.7%) | loss: 1.0032 | dt: 426ms | remaining: 280s   
step 00067 (6.8%) | loss: 0.9744 | dt: 384ms | remaining: 280s   
step 00068 (7.0%) | loss: 0.9396 | dt: 546ms | remaining: 279s   
step 00069 (7.1%) | loss: 0.9070 | dt: 341ms | remaining: 279s   
step 00070 (7.2%) | loss: 0.8752 | dt: 371ms | remaining: 278s   
step 00071 (7.4%) | loss: 0.8497 | dt: 451ms | remaining: 278s   
step 00072 (7.5%) | loss: 0.8225 | dt: 324ms | remaining: 278s   
step 00073 (7.6%) | loss: 0.7907 | dt: 401ms | remaining: 277s   
step 00074 (7.7%) | loss: 0.7683 | dt: 317ms | remaining: 277s   
step 00075 (7.9%) | loss: 0.7452 | dt: 406ms | remaining: 276s   
step 00076 (8.0%) | loss: 0.7238 | dt: 400ms | remaining: 276s   
step 00077 (8.1%) | loss: 0.7032 | dt: 398ms | remaining: 276s   
step 00078 (8.3%) | loss: 0.6808 | dt: 423ms | remaining: 275s   
step 00079 (8.4%) | loss: 0.6622 | dt: 389ms | remaining: 275s   
step 00080 (8.5%) | loss: 0.6422 | dt: 331ms | remaining: 274s   
step 00081 (8.6%) | loss: 0.6242 | dt: 329ms | remaining: 274s   
